id,temperatureVal,currentVal,vibrationVal,rpmVal,receivedTime,classifier,intClassifier
2979,29.68,0.49,83.96,2775,2016-03-05 13:24:28,noload,1
2980,29.73,0.49,93.84,2766,2016-03-05 13:24:29,noload,1
2981,29.76,0.49,87.11,2766,2016-03-05 13:24:30,noload,1
2982,29.75,0.5,86.54,2763,2016-03-05 13:24:31,noload,1
2983,29.73,0.49,87.15,2754,2016-03-05 13:24:32,noload,1
2984,29.73,0.49,82.77,2748,2016-03-05 13:24:33,noload,1
2985,29.79,0.49,85.66,2748,2016-03-05 13:24:34,noload,1
2986,29.82,0.49,91.04,2754,2016-03-05 13:24:35,noload,1
2987,29.79,0.49,84.26,2763,2016-03-05 13:24:36,noload,1
2988,29.79,0.5,88.38,2769,2016-03-05 13:24:37,noload,1
2989,29.76,0.49,88.94,2769,2016-03-05 13:24:39,noload,1
2990,29.71,0.49,82.25,2775,2016-03-05 13:24:40,noload,1
2991,29.71,0.49,86.71,2763,2016-03-05 13:24:41,noload,1
2992,29.67,0.49,90.08,2763,2016-03-05 13:24:42,noload,1
2993,29.75,0.5,81.33,2778,2016-03-05 13:24:43,noload,1
2994,29.72,0.5,84,2769,2016-03-05 13:24:44,noload,1
2995,29.77,0.49,89.12,2778,2016-03-05 13:24:45,noload,1
2996,29.9,0.49,82.07,2787,2016-03-05 13:24:46,noload,1
2997,29.9,0.49,84.48,2772,2016-03-05 13:24:47,noload,1
2998,29.78,0.49,87.63,2754,2016-03-05 13:24:48,noload,1
2999,29.88,0.49,89.69,2757,2016-03-05 13:24:49,noload,1
3000,29.95,0.49,89.64,2745,2016-03-05 13:24:50,noload,1
3001,29.93,0.49,87.54,2739,2016-03-05 13:24:51,noload,1
3002,29.87,0.49,86.28,2742,2016-03-05 13:24:53,noload,1
3003,29.75,0.3,85.49,2757,2016-03-05 13:24:54,noload,1
3004,29.76,0.21,83.65,2703,2016-03-05 13:24:55,noload,1
3005,29.99,0.01,73.28,2199,2016-03-05 13:24:56,noload,1
3006,30,0,66.19,1719,2016-03-05 13:24:57,noload,1
